,gt-pred,pred-gt,average,gt-pred,pred-gt,average,gt-pred,pred-gt,average
583,0.001701689,0.000757738,0.001229714,0.001626319,0.000748792,0.001187556,0.001718316,0.000885139,0.001301727
347,0.002167201,0.001081404,0.001624303,0.002181503,0.001104589,0.001643046,0.002198013,0.001134819,0.001666416
104,0.003082064,0.00224563,0.002663847,0.002271778,0.00221056,0.002241169,0.002197209,0.002713316,0.002455263
190,0.001998919,0.000944933,0.001471926,0.001944776,0.00095018,0.001447478,0.001969088,0.001064919,0.001517003
238,0.002361248,0.002031377,0.002196313,0.002295977,0.00203818,0.002167079,0.002236734,0.002216055,0.002226395
49,0.001994907,0.001238504,0.001616706,0.001866275,0.001247372,0.001556823,0.001938343,0.001378349,0.001658346
457,0.002430105,0.001179735,0.00180492,0.002410272,0.001202859,0.001806566,0.002434577,0.001668962,0.002051769
4,0.002166374,0.001311704,0.001739039,0.002134549,0.001334475,0.001734512,0.002182428,0.001480664,0.001831546
234,0.001998061,0.001156139,0.0015771,0.001922366,0.001146834,0.0015346,0.001995431,0.001456302,0.001725867
108,0.002300867,0.001569401,0.001935134,0.001870898,0.001614082,0.00174249,0.001987483,0.001997588,0.001992535
591,0.002100535,0.001055253,0.001577894,0.002095896,0.001074784,0.00158534,0.002125459,0.001108089,0.001616774
156,0.001538779,0.001330584,0.001434682,0.001299027,0.001318781,0.001308904,0.00141139,0.001498969,0.00145518
517,0.002725399,0.001935009,0.002330204,0.002533276,0.001932235,0.002232755,0.002534974,0.002124277,0.002329625
127,0.00134554,0.001384948,0.001365244,0.001307965,0.001395737,0.001351851,0.00135154,0.001491358,0.001421449
63,0.002506406,0.001842266,0.002174336,0.002103502,0.001796724,0.001950113,0.00213954,0.002186124,0.002162832
158,0.002167835,0.000849707,0.001508771,0.001925879,0.000866584,0.001396231,0.001984916,0.000986449,0.001485682
523,0.001832886,0.001178916,0.001505901,0.001749207,0.00117191,0.001460558,0.001834684,0.001286512,0.001560598
23,0.001939603,0.001280181,0.001609892,0.001870755,0.001258248,0.001564502,0.001992092,0.001518537,0.001755314
278,0.001566492,0.000788795,0.001177644,0.001467139,0.000767463,0.001117301,0.001568636,0.00090471,0.001236673
12,0.00248839,0.001380049,0.00193422,0.002046118,0.001381581,0.001713849,0.002146821,0.001719904,0.001933363
564,0.001750307,0.000985987,0.001368147,0.00164216,0.000987825,0.001314993,0.001717096,0.001092319,0.001404708
476,0.002006464,0.000823093,0.001414779,0.001987104,0.000831016,0.00140906,0.002027749,0.000870246,0.001448998
404,0.001494914,0.000571471,0.001033193,0.001415878,0.000569459,0.000992669,0.001504939,0.000618574,0.001061756
239,0.001720713,0.001310546,0.001515629,0.001554243,0.001293427,0.001423835,0.001636965,0.001610078,0.001623522
438,0.002183377,0.002109968,0.002146673,0.00210418,0.002146121,0.00212515,0.002148285,0.00228333,0.002215807
247,0.002172974,0.001214371,0.001693673,0.002041849,0.00121316,0.001627505,0.002103742,0.001327042,0.001715392
125,0.002231264,0.00205696,0.002144112,0.002126856,0.00205991,0.002093383,0.002186386,0.002149156,0.002167771
33,0.002339871,0.001479951,0.001909911,0.002244453,0.00149824,0.001871347,0.002304962,0.001711375,0.002008168
71,0.001867194,0.001479879,0.001673537,0.001744901,0.00146167,0.001603286,0.001825891,0.0016767,0.001751295
237,0.003553004,0.001369407,0.002461205,0.001869222,0.001369944,0.001619583,0.001955979,0.00162729,0.001791634
39,0.002662555,0.001474198,0.002068376,0.002464966,0.001468196,0.001966581,0.002552251,0.024244119,0.013398185
354,0.001928654,0.001596814,0.001762734,0.001660682,0.001589837,0.00162526,0.001742182,0.001761462,0.001751822
349,0.002002729,0.000982165,0.001492447,0.001807491,0.000962061,0.001384776,0.001927332,0.001393179,0.001660255
287,0.001931492,0.001334286,0.001632889,0.001830597,0.001333684,0.001582141,0.001917948,0.003389832,0.00265389
401,0.002181376,0.001199458,0.001690417,0.00196514,0.001169424,0.001567282,0.002047975,0.001452016,0.001749996
425,0.002827899,0.001389095,0.002108497,0.002260236,0.001260809,0.001760522,0.002338812,0.001946258,0.002142535
285,0.003852749,0.00114507,0.00249891,0.002388153,0.001239493,0.001813823,0.002523973,0.001752606,0.00213829
272,0.002705096,0.001213568,0.001959332,0.00198489,0.001022544,0.001503717,0.002208771,0.001686351,0.001947561
515,0.002230077,0.001272375,0.001751226,0.001987629,0.001260137,0.001623883,0.002010098,0.001668007,0.001839053
547,0.002421903,0.001155094,0.001788499,0.001932796,0.001191277,0.001562037,0.002038674,0.001394772,0.001716723
28,0.002135435,0.001407982,0.001771708,0.00180851,0.001338681,0.001573595,0.001945371,0.001784745,0.001865058
147,0.002001962,0.002385947,0.002193955,0.001980311,0.00240304,0.002191676,0.002034425,0.002479906,0.002257165
396,0.002944593,0.002078404,0.002511499,0.002576139,0.00210952,0.00234283,0.00259274,0.00233431,0.002463525
222,0.002325708,0.001320131,0.001822919,0.002160107,0.00129324,0.001726674,0.002200218,0.001685061,0.00194264
196,0.002030135,0.000892222,0.001461178,0.001725282,0.000843023,0.001284152,0.001847652,0.001128856,0.001488254
67,0.0017278,0.000854225,0.001291012,0.001579709,0.000819586,0.001199647,0.001699915,0.001125321,0.001412618
32,0.002650865,0.001489696,0.00207028,0.002416403,0.001496368,0.001956385,0.002502387,0.001897559,0.002199973
503,0.002457072,0.00138032,0.001918696,0.002348749,0.001382196,0.001865473,0.002375863,0.001484243,0.001930053
283,0.002640957,0.001140429,0.001890693,0.002553798,0.001138817,0.001846308,0.002508131,0.001653543,0.002080837
